categary_name,ch_id,ch_title,commentCount,country,dislikeCount,favoriteCount,likeCount,publised_date,v_id,v_title,viewCount
Gaming,UC5iLPoX7jHrxhjg76eGMCLQ,しょうじ,1358,JP,104,0,6713,2019-01-31T08:48:58.000Z,S9-6MlCPT8s,[Fortnite] フォートナイトで脱出マジックをしてみた結果ww,394379
Gaming,UCSxwU949ET-h5aRYYKlVTfg,オサミンティヌス3世,7085,JP,900,0,88432,2019-01-19T09:58:15.000Z,ZF3kN3yy5Cw,ボイチャで乱入してきた歌ウマと奇跡的なハモリが始まったんだがwwwwwwww【丸の内サディスティック/椎名林檎】,2673368
Gaming,UCMJiPpN_09F0aWpQrgbc_qg,キヨ。,1376,JP,76,0,9749,2019-01-30T11:00:17.000Z,I7ph8MmEQLE,【4人実況】戦犯は誰だ！チーム対抗マリカー最速決定戦！【マリオカート8 デラックス】,281376
Gaming,UCP-qK04cla6Qj_WToco8vPg,あばだんごチャンネル,514,JP,236,0,1545,2019-01-30T08:00:03.000Z,kQ_Kdt6XE8s,パックンフラワー最速でVIP部屋で使ってみた！w【スマブラSP】,294937
Gaming,UCgMPP6RRjktV7krOfyUewqw,はじめしゃちょー（hajime）,7322,JP,2230,0,30611,2019-01-22T11:16:33.000Z,5wzajg3YiLU,【爆音】40万円の巨大な銅鑼を買ってしまった男。,1454960
Gaming,UCkH3CcMfqww9RsZvPRPkAJA,Nintendo 公式チャンネル,,JP,143,0,4490,2019-01-27T10:38:57.000Z,gF5aO2uiYbA,「第4回スプラトゥーン甲子園」闘会議2019 DAY2 全国決勝大会,368112
Gaming,UCPVr7clenPjpD7WNsSI3UBQ,レトルト,485,JP,64,0,2651,2019-01-30T09:00:00.000Z,8ZODz9ouSQA,怪しいお店で最高のサービスを受けます【JUDGE EYES】＃28,166457
Gaming,UCEIMvzf3R9d3_2A3IAajvHg,赤髪のとものゲーム実況チャンネル!!,653,JP,56,0,3657,2019-01-29T12:39:03.000Z,B0mcHSjnJm4,【マインクラフト】山荘から脱出せよ!!【エスケープラグリ2前編】赤髪のとも,245958
Gaming,UCu3Mp1ZimtNvyA-bcfo9VrQ,カズゲームズ/Gaming Kazu,785,JP,76,0,2640,2019-01-31T09:00:01.000Z,CDjGajouzr8,【カズクラ2019】島に村人さん移住計画！マイクラ実況 PART27,186983
Gaming,UCZMRuagdTBKmmrFtSMN48Xw,牛沢,290,JP,41,0,2166,2019-01-31T08:00:02.000Z,b677owf6nX4,ひしめき合う筋肉【ドラクエビルダーズ２】＃３３,116409
Gaming,UCpOjLndjOqMoffA-fr8cbKA,水溜りボンド,2171,JP,396,0,20443,2019-01-22T12:21:44.000Z,oHUykYKFAWI,【俺らなら余裕？】ドッキリから神回避するゲームが理不尽すぎたwwww,817287
Gaming,UCHxqtnCwn_NEm4aEIU-O85A,なうしろ - GameWith,436,JP,98,0,979,2019-01-31T11:09:26.000Z,oU3vbFhgsDc,【モンスト】獣神化は砲撃型の強友情！バレンタインに新イベント！新爆絶サキミタマ＆神アプデも！【なうしろ】,166943
Gaming,UC66VyLEdgCot-4w8x-n0CGA,なっちのゲームチャンネル,302,JP,84,0,656,2019-01-31T08:58:12.000Z,mxJJ9y1pw0M,新フェス限の龍刀士を狙ってゴッドフェス100連した結果【パズドラ】,121344
Gaming,UC67gYd3-k37yrn5nISYxZzg,レインボーシックス シージ ESPORTS,49,JP,64,0,992,2019-01-31T17:20:35.000Z,Wt0fPs3c2Gk,レインボーシックス Japan プロリーグ シーズンIX PlayDay8(キャスター：ともぞう),159253
Gaming,UCGzgKurBk66FKNJiBkTvAHg,つばさブロー,412,JP,28,0,1172,2019-01-31T08:00:02.000Z,L2hRhT6O0jU,1つ全然クリアできないチャレンジがあるんだが,106757
Gaming,UCx1nAvtVDIsaGmCMSe8ofsQ,jun channel,343,JP,267,0,3362,2019-01-26T16:44:13.000Z,bpNrjsDc2Mw,バイオハザード RE:2,376327
Gaming,UC2ZVDmnoZAOdLt7kI7Uaqog,ゲーム部プロジェクト,2733,JP,134,0,14853,2019-01-29T11:11:46.000Z,2_atjce0G44,楓ちゃん退部！？エイレーンが部長になりました。,316774
Gaming,UCM3yhFc0-fBFuvqx1Vg2YNQ,まいぜんシスターズ,201,JP,48,0,1403,2019-01-31T06:30:02.000Z,F9yY0xjSgpE,【マインクラフト】雑草になってドッキリを仕掛けてみた。,156141
Gaming,UCGjV4bsC43On-YuiLZcfL0w,KUN,790,JP,42,0,2341,2019-01-31T11:07:27.000Z,G9ws4Prk0RE,人狼ジャッジメントは感情に訴えかけるゲーム 感情で村を叩き潰す-人狼ジャッジメント【KUN】,80428
Gaming,UC5WblnjP5ozQQWNtAaGTv-Q,Janner Game Ch. 【JGC】,493,JP,159,0,834,2019-01-25T03:49:15.000Z,zTs2UzDTVoo,バイオハザードRE:2 ラスボス戦からのエンディング　【クレア編２nd】,307035
Gaming,UCXqoK3nPrsCnPIxyavw0jOw,Seiji＠きたくぶ,122,JP,34,0,487,2019-01-31T16:00:05.000Z,mVgYm9UOzlY,【ツムツム】ソラKH3ver.★キングダムハーツ（スキルMAX）初見プレイ！★KH3★【Seiji＠きたくぶ】,94376
Gaming,UCFfevcA6MGBQjDmevtzPzWQ,AHATO,403,JP,25,0,1345,2019-01-31T09:25:36.000Z,zqoItBoAggY,【Fortnite】新アイテムチラーグレネードで敵を凍らせて吹っ飛ばす！そして色々なアイテムが保管庫に・・・【ゆっくり実況】ACT170,147024
Gaming,UC57TVnp_Rz9SRwSBjDwPMhw,つなまぐろ,164,JP,430,0,2999,2019-01-27T13:26:20.000Z,vC-Z8R6QyJU,【バイオ2 / RE2】レオン編 : 無限ロケランで無双プレイ！【RESIDENT EVIL2】,248246
Gaming,UCO-Ah_K161Ky1y65-o0y6mg,スパーキン神コロ,683,JP,138,0,566,2019-01-30T21:02:05.000Z,yvQbsWvE2z8,【ドッカンバトル】激熱すぎるガチャ！4周年Wドッカンフェスが始まったよ！【Dragon Ball Z Dokkan Battle】,115613
Gaming,UCYghDo_FxUL_i-YXWWB9DJQ,Fortnite Clips,1334,JP,167,0,3656,2019-01-28T10:44:40.000Z,3EPonCyg9Mg,【日本語訳付き】美人配信者pokimaneの配信に発情キッズが乱入！次々と出される言葉責めの内容がヤバ過ぎた・・・.【Fortnite】,402789
Gaming,UCHpJRa9X7Tf9x2CZsQSemcA,さよドラ,472,JP,67,0,2126,2019-01-31T09:00:01.000Z,a8Us2T0f57k,復活のクロスボウで3連キルして脳汁がとまんねえ！！！！！【荒野行動】,166424
Gaming,UCYgTqu9nI2ymVzmAUYj31_g,NoRqNeko【のらねこ】,610,JP,94,0,1667,2019-01-30T09:00:04.000Z,d3ppjeEnWX0,僕の姉さんがビッ◯過ぎて♡ヤバい【フォートナイト/Fortnite】,174391
Gaming,UCwAJec7nCDBLu1gJOzDNFKg,トムの実況チャンネル,638,JP,170,0,1581,2019-01-29T09:00:02.000Z,MywxXYUjStw,【フォートナイト】ゾンビのアイテムだけで奇跡の優勝!!?,275278
Gaming,UCZFO75r8iYNI2XPmoFEG6ig,ぺいんとチャンネルゥ,5333,JP,90,0,24923,2019-01-27T05:47:45.000Z,KY897YOuZxU,【予告】日常組、始動…!,558866
Gaming,UCtmXnwe5EYXUc52pq-S2RAg,SANNINSHOW,120,JP,12,0,1125,2019-01-29T10:15:01.000Z,28N0rscHPJI,#50【生放送】三人称のマインクラフト【マイクラ】,99431
Gaming,UCSdExItCszcnIp-roT7b0kw,ライバロリ,994,JP,99,0,2052,2019-01-29T10:30:02.000Z,vtXRLLKTgvQ,修学旅行中に友達がいないから一人でカドショに行くキッズを救いたかった。【ポケモンUSUM/ウルトラサン・ウルトラムーン】,178482
Gaming,UCn73srSuC_cqmRK95AJO-Jw,被り王メロ,364,JP,114,0,489,2019-01-31T00:35:52.000Z,5MGWiD5JT54,【ドッカンバトル #1916】まさかのブルベジ演出！？過去最高の龍石で挑む４周年悟空フェス！！【ドッカンフェス Dokkan Battle】,118782
Gaming,UCENoC6MLc4pL-vehJyzSWmg,もこうの実況,881,JP,292,0,1770,2019-01-30T12:57:14.000Z,5BOpvqMiTOk,任天堂さん、カービィを救ってくれてありがとう【スマブラSP パックンフラワー】,181067
Gaming,UCEnkd5D-53MDGpgpiQRbUqw,よしなま,551,JP,75,0,1904,2019-01-30T10:30:01.000Z,wsK5E5PPags,タイクンザムザ辿異種の一撃必殺速すぎワロタ【モンハンフロンティアZ(MHF-Z実況)】,144678
Gaming,UCmJnG5cRJ-LNKpaq6kVQX_Q,総長ウララ,427,JP,112,0,3595,2019-01-27T01:00:02.000Z,KSdOun-vnzE,【フォートナイト】しょうじ一味が脱出ゲームに挑戦したけど...,398156
Gaming,UCIZzHNbzlIskx3TxGznRyYg,主役は我々だ!【グルッペン・フューラー】,677,JP,29,0,5132,2019-01-29T10:00:02.000Z,Q8tSBObdEC4,【Minecraft】あまりの難易度の高さに一同現実逃避#84,134933
